PlayerName,Org,Level,Age,wRC+,ISO,OBP,SLG,K%,PA,BB%,playerId,fg_pos,fg_top_100,fg_org_rk,fg_hit,fg_game,fg_raw,fg_spd,fg_fv,FA/Team,mlb_top30,mlb_top30_rank,mlb_top30_scraped_date,mlb_top30_match_method,mlb_top30_match_score,mlb_player_url,mlb_top30_source_url,mlb_top30_org_slug,mlb_year,mlb_grades_json,mlb_blurb,pitcherlist_in_list,pitcherlist_org_rank,pitcherlist_match_method,pitcherlist_match_score,pitcherlist_blurb,pitcherlist_has_blurb,pitcherlist_blurb_article_date,pitcherlist_blurb_article_url,pitcherlist_blurb_scraped_date,pitcherlist_org_rank_pl,pitcherlist_blurb_pl,pitcherlist_has_blurb_pl,pitcherlist_blurb_article_date_pl,pitcherlist_blurb_article_url_pl,pitcherlist_blurb_scraped_date_pl,p1500_in_list,p1500_org_rank,p1500_scraped_date,p1500_match_method,p1500_match_score,p1500_source_url,p1500_org_slug,p1500_org_rank_p1500,p1500_scraped_date_p1500,p1500_source_url_p1500,p1500_org_slug_p1500,ps_A_Name,ps_A_Org,ps_A_Pos,ps_A_Age,ps_A_PA,ps_A_AB,ps_A_Pitches,ps_A_Tracked%,ps_A_wOBA,ps_A_Bat Speed,ps_A_Barrel %,ps_A_BB%,ps_A_Chase%,ps_A_EV,ps_A_Max EV,ps_A_50th% EV,ps_A_90th% EV,ps_A_Hard Hit%,ps_A_K%,ps_A_L°,ps_A_Whiff%,ps_A_Swing%,ps_A_Z-Swing%,ps_A_Z-Contact%,ps_A_SwStr%,ps_A_Pull Air%,ps_A_BA,ps_A_OBP,ps_A_SLG,ps_A_BABIP,ps_A_BB,ps_A_2B,ps_A_3B,ps_A_Hits,ps_A_HR,ps_A_K,ps_A_Swings,ps_A_Whiffs,ps_A_psStuff+,ps_A_Max Velo,ps_A_Barrel%,ps_AAA_Name,ps_AAA_Org,ps_AAA_Pos,ps_AAA_Age,ps_AAA_PA,ps_AAA_AB,ps_AAA_Pitches,ps_AAA_Tracked%,ps_AAA_wOBA,ps_AAA_Bat Speed,ps_AAA_Barrel %,ps_AAA_BB%,ps_AAA_Chase%,ps_AAA_EV,ps_AAA_Max EV,ps_AAA_50th% EV,ps_AAA_90th% EV,ps_AAA_Hard Hit%,ps_AAA_K%,ps_AAA_L°,ps_AAA_Whiff%,ps_AAA_Swing%,ps_AAA_Z-Swing%,ps_AAA_Z-Contact%,ps_AAA_SwStr%,ps_AAA_Pull Air%,ps_AAA_BA,ps_AAA_OBP,ps_AAA_SLG,ps_AAA_BABIP,ps_AAA_BB,ps_AAA_2B,ps_AAA_3B,ps_AAA_Hits,ps_AAA_HR,ps_AAA_K,ps_AAA_Swings,ps_AAA_Whiffs,ps_AAA_psStuff+,ps_AAA_Max Velo,ps_AAA_Barrel%,ibw_year,ibw_rank,ibw_blurb,ibw_url,ibw_match_method,ibw_match_score,wRC+_pct,ISO_pct,OBP_pct,SLG_pct,K%_pct,SkillScore,_mlb_top30_rank_pct_rankscore,_pitcherlist_org_rank_pct_rankscore,_p1500_org_rank_pct_rankscore,_ibw_rank_pct_rankscore,RankSources,RankCoverage,RankScore,DynastyScore_65_35,SampleReliability,Proj_ETA_Bucket,AgeForLevel_Delta,AgeForLevel_Score,Proj_Confidence,Proj_Impact,Proj_Risk,Proj_HitProfile,Proj_DynastyUtility,_trend_key,trend_key_method
Carlos Narvaez,NYY,MLB,25.6611111,68.27137563799714,0.085714286,0.325,0.314285714,0.3,40,0.125,19722,C,,35,30 / 30,35 / 40,45 / 45,20 / 20,35+,FA,False,,,none,75.86206896551724,,,,,,,False,,none,75.86206896551724,,False,,,,,,,,,,False,,,none,75.86206896551724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.09803921568627451,0.09803921568627451,0.23529411764705882,0.0718954248366013,0.09150326797385622,12.4,,,,,0,0.0,,12.4,0.16,MLB,-1.3388889000000006,66.06666680000001,4.0,20.45000002,53.0,Contact,15.265833369000003,19722,playerId
Eguy Rosario,SDP,NAN,24.1,55.474215902279134,0.138686132,0.268852459,0.332116788,0.295081967,305,0.095081967,19964,3B,,11,30 / 35,45 / 50,50 / 50,40 / 40,40,FA,False,,,none,46.666666666666664,,,,,,,False,,none,46.666666666666664,,False,,,,,,,,,,False,,,none,46.666666666666664,,,,,,,Eguy Rosario,FA,3B,26.0,61.0,55.0,233.0,100.0,0.32,70.6,23.1,9.8,30.4,88.7,108.1,87.7,104.6,38.5,26.2,6.7,28.1,48.718,60.6,76.7,13.7,1.7,0.2,0.279,0.473,0.222,6.0,6.0,0.0,11.0,3.0,16.0,114.0,32.0,,,,Eguy Rosario,FA,3B,26.0,61.0,55.0,233.0,100.0,0.32,70.6,23.1,9.8,30.4,88.7,108.1,87.7,104.6,38.5,26.2,6.7,28.1,48.718,60.6,76.7,13.7,1.7,0.2,0.279,0.473,0.222,6.0,6.0,0.0,11.0,3.0,16.0,114.0,32.0,,,,2025,387,"SDP, 3B, 25.7 – On surface stats alone, Rosario had an excellent season at both Triple-A and the majors. He slashed .263/.361/.531 with 21 homers, 19 steals, and a 21.3/12.3 K%/BB% in 95 games at Triple-A, and then he popped 3 homers with a 125 wRC+ in 57 MLB PA. The underlying numbers weren’t bad either, but they weren’t quite as impressive with a 86.8 MPH EV at Triple-A, and a 41.9% whiff% and 34.7% Chase% in the majors. Granted, he did crush the ball in the majors with a 14.7% Barrel%, and he definitely has some legit raw juice in his bat. He ran a lot in the minors, but he wasn’t a particularly good base stealer, and he’s not a burner, so while he’ll likely contribute in the category, I wouldn’t expect big totals. He seems like a bench bat to me optimally, but San Diego is thin, so he’s not far away from playing time. – 2025 Projection: 29/8/34/.241/.298/.417/4",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.08695652173913043,0.6956521739130435,0.21739130434782608,0.5652173913043478,0.30434782608695654,34.0,,,,24.90272373540856,1,0.25,19.299610894941633,28.85486381322957,1.0,Unknown,,,40.0,34.85645914396888,27.0,Contact,29.635406614785996,19964,playerId
Jair Camargo,MIN,AAA,25.0638888,34.234955446104884,0.091603053,0.239130434,0.290076335,0.391304347,138,0.050724637,21730,C,,22,30 / 35,30 / 50,65 / 65,20 / 20,40,FA,False,,,none,54.54545454545454,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Jair Camargo,ATL,C/DH,26.0,18.0,18.0,65.0,100.0,0.098,0.0,0.0,0.0,48.0,92.9,109.7,95.4,102.5,55.6,44.4,13.1,40.5,56.923,62.5,72.0,23.1,1.5,0.111,0.111,0.111,0.2,0.0,0.0,0.0,2.0,0.0,8.0,37.0,15.0,,,,Jair Camargo,ATL,C/DH,26.0,18.0,18.0,65.0,100.0,0.098,0.0,0.0,0.0,48.0,92.9,109.7,95.4,102.5,55.6,44.4,13.1,40.5,56.923,62.5,72.0,23.1,1.5,0.111,0.111,0.111,0.2,0.0,0.0,0.0,2.0,0.0,8.0,37.0,15.0,,,,,,,,none,0,0.013888888888888888,0.1111111111111111,0.013888888888888888,0.041666666666666664,0.0,3.71,,,,,0,0.0,,3.71,0.552,0–1 yr,0.06388880000000086,49.23333439999999,13.8,10.538500159999998,43.83888800000001,Contact,10.773158751999997,21730,playerId
Johnathan Rodriguez,CLE,MLB,24.7222222,140.05562771357629,0.201729106,0.395061728,0.50720461,0.227160493,405,0.12345679,22530,RF,,30,30 / 35,45 / 55,65 / 65,40 / 40,35+,FA,False,,,none,66.66666666666667,,,,,,,False,,none,48.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,350,"CLE, OF, 25.5 – Good teams know how to build depth, and Cleveland is building strong offensive depth basically at every position. It’s great for real life, but it makes it very hard to know if and when a good but not great prospect will get an opportunity. Rodriguez is in that bucket as a slugger with no defensive value. He destroyed Triple-A, slashing .301/.390/.540 with 29 homers, 8 steals, and a 25.2/12.6 K%/BB% in 118 games. The 7.2 degree launch was low, but the 92.5 MPH EV more than made up for it. He didn’t have a good MLB debut in a small sample with a .486 OPS in 40 PA, but he still put up a 91.3 MPH EV. If he gets playing time, there is little doubt that he will be fantasy relevant, but who knows when or if he will get playing time. – 2025 Projection: 18/6/24/.232/.307/.432/2 Prime Projection: 48/16/54/.244/.325/.457/ 5",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.8431372549019608,0.6339869281045751,0.7777777777777778,0.7516339869281046,0.4575163398692811,72.07,,,,32.1011673151751,1,0.25,24.878404669260696,55.552941634241236,1.0,MLB,-2.277777799999999,77.33333359999999,40.0,67.90438253027237,27.0,Power+OBP,49.97363885862257,22530,playerId
George Valera,CLE,MLB,23.6972222,143.99003037487105,0.23178808,0.388235294,0.549668874,0.223529411,170,0.105882352,22541,RF,,18,30 / 30,45 / 55,55 / 60,45 / 45,40,FA,False,,,none,43.47826086956522,,,,,,,True,13,fuzzy,100.0,,False,1/23/2025,https://pitcherlist.com/2025-cleveland-guardians-top-fantasy-baseball-prospects/,2026-01-30,13.0,,False,1/23/2025,https://pitcherlist.com/2025-cleveland-guardians-top-fantasy-baseball-prospects/,2026-01-30,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,349,"CLE, OF, 24.4 – Add Valera to the pile of Cleveland’s strong corner depth. I don’t know who is going to emerge out of this group, but at least a few of them will emerge over the next few years, and the ones that do can definitely make an impact. Valera had injuries slow his career and allowed others to catch up to him on the depth chart, so now he’s in a dog fight like the rest of them. He had a strong year in 2024 with 17 homers, a 90.5 MPH EV and 27/12 K%/BB% in 90 games at Triple-A, showing off the power potential. He still has that damn smooth lefty swing. The best way to play Cleveland’s fringier prospects are to probably wait to see who gets the opportunity, and then pounce, rather than hold on, but in deeper leagues you probably don’t have that luxury. Something tells me that I still want to bet on Valera, but it will probably come as a strong side of a platoon bat. – 2025 Projection: 15/6/21/.221/.301/.424/1 Prime Projection: 66/23/73/.245/.327/.469/6",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.8627450980392157,0.8169934640522876,0.738562091503268,0.8823529411764706,0.4771241830065359,77.78,,14.28571428571429,,32.295719844357976,2,0.5,21.072818232351306,57.93248638132296,0.68,MLB,-3.302777800000001,89.63333360000001,47.0,73.60374595439689,30.0,Power+OBP,55.94835239947861,22541,playerId
Michael Siani,STL,MLB,25.0222222,63.82013073749375,0.107317073,0.298319327,0.304878048,0.252609603,479,0.118997912,22557,CF,,14,40 / 45,30 / 30,40 / 40,60 / 60,40,FA,False,,,none,52.17391304347826,,,,,,,False,,none,45.45454545454545,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Michael Siani,LAD,OF,26.0,49.0,42.0,206.0,100.0,0.171,65.2,7.1,14.3,33.8,87.2,104.7,96.4,103.2,64.3,30.6,10.9,35.4,47.826,54.7,69.7,16.9,1.9,0.095,0.224,0.095,0.148,7.0,0.0,0.0,4.0,0.0,15.0,99.0,35.0,,,,Michael Siani,LAD,OF,26.0,49.0,42.0,206.0,100.0,0.171,65.2,7.1,14.3,33.8,87.2,104.7,96.4,103.2,64.3,30.6,10.9,35.4,47.826,54.7,69.7,16.9,1.9,0.095,0.224,0.095,0.148,7.0,0.0,0.0,4.0,0.0,15.0,99.0,35.0,,,,,,,,none,0,0.0784313725490196,0.1503267973856209,0.11764705882352941,0.058823529411764705,0.2875816993464052,12.75,,,,,0,0.0,,12.75,1.0,MLB,-1.9777777999999984,73.73333359999998,25.0,21.897500039999997,32.0,Contact,24.800541737999996,22557,playerId
Tirso Ornelas,SDP,MLB,24.3694444,104.96003626926982,0.159891599,0.381733021,0.449864498,0.163551401,428,0.121495327,22566,LF,,12,40 / 45,40 / 45,60 / 60,45 / 45,40,FDYS,True,11.0,2026-01-30,exact,100.0,https://www.mlb.com/milb/prospects/2025/padres/tirso-ornelas-672359,https://www.mlb.com/milb/prospects/2025/padres/,padres,2025.0,"{""Hit"": 50, ""Power"": 50, ""Run"": 45, ""Arm"": 50, ""Field"": 45, ""Overall"": 40}","The Padres purchased Ornelas' contract for $1.5 million in March 2017 after his time with Diablos Rojos del Mexico in Mexico City. He moved methodically through the system with solid but not stellar results and was left unprotected and unpicked in the Rule 5 Draft three times after first becoming eligible in 2021. Playing for Triple-A El Paso for a third straight season in 2024, he had his best year yet with a .297/.367/.497 line and career-high 23 homers (10th-most in the Pacific Coast League) in 128 games. He was added to the 40-man roster in July as outfield depth but never debuted and continued to produce in winter ball back home in Mexico. The left-handed slugger’s increased power output in ’24 wasn’t just a product of the hitter-friendly environs of El Paso or the PCL as a whole. His exit velocities ran above average, including his 104.8 mph 90th-percentile EV. It’s all-fields pop too, but what keeps Ornelas, who bats from an open stance with a leg kick, from a true 55-grade power projection is that he still hits the ball on the ground more than is desired. Otherwise, he doesn’t whiff on many pitches across the board and had almost even splits, though he will expand the zone in search of contact. Ornelas is a below-average runner, and his average arm strength meant he got the lion’s share of work in left field in 2024. He also sprinkled in some first base in August and September, notably after the 40-man add. He got his Major League debut at long last in 2025, but a bout of plantar fasciitis kept him out of San Diego's outfield equation for much of the summer. Last Prospect 10 Jagger Haynes Next Prospect 12 Ty Harvey Padres Prospect Headlines Potential 5-tool standout Hernandez among Padres' 2026 int'l signings January 15, 2026 Mendez has potential to provide much-needed pitching depth December 22, 2025 Padres add pair of righty prospects to 40-man in Mendez, Hawkins November 18, 2025 After Tommy John surgery, former top Draft prospect back to the mound in Fall League October 29, 2025 3 Padres prospects worth watching next year October 21, 2025 Undrafted Padres prospect Karpathios making noise in Fall League October 18, 2025 Padres No. 14 prospect King leans on NFL father's advice October 13, 2025 3 storylines to look out for on San Diego's AFL roster October 10, 2025 More Prospects News Padres Prospect Highlights 01:05 Top Prospects: Kruz Schoolcraft, LHP, Padres January 23, 2026 05:09 Miguel Mendez on rise through Minors and more January 20, 2026 0",True,10,fuzzy,100.0,,False,1/15/2026,https://pitcherlist.com/2026-san-diego-padres-top-fantasy-baseball-prospects/,2026-01-30,10.0,,False,1/15/2026,https://pitcherlist.com/2026-san-diego-padres-top-fantasy-baseball-prospects/,2026-01-30,True,8,2026-01-25,fuzzy,100.0,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,,8.0,2026-01-25,https://www.prospects1500.com/top-50-lists/san-diego-padres-top-50-prospects-2026/,,Tirso Ornelas,SDP,OF,25.0,57.0,51.0,207.0,100.0,0.358,73.5,6.1,10.5,33.3,90.5,114.2,91.7,110.9,39.4,10.5,14.4,27.3,47.826,57.7,80.3,13.0,1.4,0.294,0.368,0.451,0.318,6.0,5.0,0.0,15.0,1.0,6.0,99.0,27.0,,,,Tirso Ornelas,SDP,OF,25.0,57.0,51.0,207.0,100.0,0.358,73.5,6.1,10.5,33.3,90.5,114.2,91.7,110.9,39.4,10.5,14.4,27.3,47.826,57.7,80.3,13.0,1.4,0.294,0.368,0.451,0.318,6.0,5.0,0.0,15.0,1.0,6.0,99.0,27.0,,,,2025,221,"SDP, OF, 25.1 – Ornelas was once upon a time a popular sleeper bat back in 2018 as a 19 year old, and while he didn’t have the explosion many hoped for, here he is popping back up on the radar in 2025. The 6’4”, sweet lefty swinging Ornelas slashed .297/.367/.497 with 23 homers, 7 steals, and a 16.1/9.7 K%/BB% in 128 games at Triple-A. The 87.6 MPH EV and 8.4 degree launch don’t exactly scream big time power hitter in the majors, but the raw power is definitely in there, and the contact rates were really good. It’s probably a bench bat long term, but San Diego is a very thin team right now, so Ornelas is in position to get plenty of at-bats in 2025. It’s also not out of the question for him to level up again if he can raise his launch, and his teammate Jackson Merrill is a perfect guy to talk to about that. He’s not a bad underrated proximity bat at all for deeper leagues. – 2025 Projection: 41/10/47/.238/.303/.409/2 Prime Projection: 43/12/51/.260/.321/.435/3",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.39215686274509803,0.35294117647058826,0.6601307189542484,0.45751633986928103,0.738562091503268,49.6,62.96296296296296,0.0,0.0,57.19844357976653,4,1.0,35.760195993659025,44.75606859778066,1.0,MLB,-2.630555600000001,81.56666720000001,85.0,52.941820659334205,12.0,OBP,55.3371527367004,22566,playerId
Alexander Canario,CHC,NAN,24.2138888,167.8211992632827,0.305555556,0.418604651,0.611111111,0.348837209,43,0.162790697,22842,RF,,25,30 / 35,45 / 55,60 / 60,50 / 45,40,FA,False,,,none,59.25925925925925,,,,,,,False,,none,59.25925925925926,,False,,,,,,,,,,False,,,none,50.0,,,,,,,Alexander Canario,FA,OF,25.0,43.0,36.0,201.0,100.0,0.436,0.0,21.4,16.3,30.1,93.1,110.6,93.7,109.3,35.7,34.9,7.4,30.1,40.887,46.9,75.4,12.3,2.0,0.306,0.419,0.611,0.444,7.0,2.0,0.0,11.0,3.0,15.0,83.0,25.0,,,,Alexander Canario,FA,OF,25.0,43.0,36.0,201.0,100.0,0.436,0.0,21.4,16.3,30.1,93.1,110.6,93.7,109.3,35.7,34.9,7.4,30.1,40.887,46.9,75.4,12.3,2.0,0.306,0.419,0.611,0.444,7.0,2.0,0.0,11.0,3.0,15.0,83.0,25.0,,,,2025,340,"NYM, OF, 24.11 – I was always visually amazed when watching Canario swing, writing, “he swings the bat like it’s a bazooka with an extreme all or nothing approach,” in last year’s Top 1,000 writeup, and now with bat speed tracking, we saw Canario put up an eye poppingly elite 78 MPH swing. It was in a small sample (40 swings), but that was 4th best in all of baseball. My eyes certainly weren’t deceiving me, and it’s what keeps Canario interesting to me for fantasy. He’s going to rip dingers if he gets playing time, like he did at Triple-A with 18 homers and a 16.8% Barrel% in 64 games. He also keeps producing in the majors in small samples (despite an extremely high K%) with a 148 wRC+ in 17 PA in 2023 and a 128 wRC+ in 28 PA in 2024. The swing is on the long side and he strikes out a ton (30.4% K% at Triple-A), so the batting average is a major risk, and it may prevent him from ever really truly locking down a full time job, but that power upside is big enough to crack this list. 2025 Projection: 28/10/37/.223/.301/.438/2 Prime Projection: 64/25/78/.235/.314/.469/6",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,1.0,1.0,1.0,1.0,0.08695652173913049,88.13,,,,34.04669260700389,1,0.25,26.38618677042801,66.5196653696498,0.172,Unknown,,,19.3,75.92739961089494,47.7,Power+OBP,40.87232982490272,22842,playerId
Jacob Amaya,HOU,MLB,25.8916666,99.59142399908384,0.162790698,0.355731225,0.409302325,0.296442687,253,0.14229249,23296,SS,,14,50 / 55,30 / 30,40 / 40,55 / 55,40,FA,False,,,none,45.45454545454546,,,,,,,False,,none,45.45454545454545,,False,,,,,,,,,,False,,,none,47.61904761904761,,,,,,,Jacob Amaya,ARI,SS,27.0,34.0,27.0,162.0,100.0,0.331,66.7,6.7,20.6,16.2,94.2,109.8,97.5,103.5,66.7,32.4,17.9,20.7,35.802,50.0,83.0,7.4,0.0,0.222,0.382,0.333,0.375,7.0,3.0,0.0,6.0,0.0,11.0,58.0,12.0,,,,Jacob Amaya,ARI,SS,27.0,34.0,27.0,162.0,100.0,0.331,66.7,6.7,20.6,16.2,94.2,109.8,97.5,103.5,66.7,32.4,17.9,20.7,35.802,50.0,83.0,7.4,0.0,0.222,0.382,0.333,0.375,7.0,3.0,0.0,6.0,0.0,11.0,58.0,12.0,,,,,,,,none,0,0.32679738562091504,0.37254901960784315,0.41830065359477125,0.3137254901960784,0.0980392156862745,32.56,,,,,0,0.0,,32.56,1.0,MLB,-1.1083333999999994,63.30000079999999,25.0,37.17100012,32.0,OBP,29.586950214,23296,playerId
Hunter Feduccia,LAD,MLB,27.1361111,123.94121542187712,0.183333333,0.395543175,0.473333333,0.214484679,359,0.150417827,23372,C,,25,40 / 50,30 / 30,40 / 40,30 / 30,40,FA,False,,,none,64.51612903225806,,,,,,,False,,none,64.51612903225806,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Hunter Feduccia,TBR,C,28.0,26.0,24.0,103.0,100.0,0.378,0.0,7.1,7.7,14.3,91.3,108.1,95.2,108.0,57.1,23.1,6.7,26.3,36.893,52.5,81.3,9.7,2.9,0.292,0.346,0.542,0.353,2.0,3.0,0.0,7.0,1.0,6.0,38.0,10.0,,,,Hunter Feduccia,TBR,C,28.0,26.0,24.0,103.0,100.0,0.378,0.0,7.1,7.7,14.3,91.3,108.1,95.2,108.0,57.1,23.1,6.7,26.3,36.893,52.5,81.3,9.7,2.9,0.292,0.346,0.542,0.353,2.0,3.0,0.0,7.0,1.0,6.0,38.0,10.0,,,,,,,,none,0,0.6535947712418301,0.5032679738562091,0.7843137254901961,0.6013071895424836,0.542483660130719,62.8,,,,,0,0.0,,62.8,1.0,MLB,0.13611110000000082,48.36666679999999,25.0,60.63500001999999,33.36111100000001,Power+OBP,36.954916718999996,23372,playerId
Luis Vazquez,CHC,AAA,24.7888888,105.48909672627316,0.128205128,0.352941176,0.41025641,0.197309417,223,0.080717488,23442,SS,,35,30 / 30,40 / 40,50 / 50,50 / 50,35+,FA,False,,,none,43.47826086956522,,,,,,,False,,none,33.33333333333333,,False,,,,,,,,,,False,,,none,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.4305555555555556,0.3333333333333333,0.6180555555555556,0.4583333333333333,0.7083333333333333,49.01,,,,,0,0.0,,49.01,0.892,0–1 yr,-0.21111120000000128,52.533334400000015,22.3,49.538500160000005,34.7,OBP,32.05399195200001,23442,playerId
Brayan Rocchio,CLE,MLB,23.5305555,120.01862947894168,0.213592233,0.354430379,0.480582524,0.155462184,238,0.109243697,23690,SS,63.0,2,50 / 60,40 / 45,40 / 45,45 / 45,50,FA,False,,,none,55.172413793103445,,,,,,,False,,none,55.172413793103445,,False,,,,,,,,,,False,,,none,0.0,,,,,,,Brayan Rocchio,CLE,SS,25.0,50.0,47.0,190.0,100.0,0.359,70.4,15.6,6.0,32.9,87.9,108.9,92.8,105.3,46.9,20.0,3.8,19.2,54.737,70.3,85.9,10.5,3.2,0.319,0.36,0.468,0.389,3.0,4.0,0.0,15.0,1.0,10.0,104.0,20.0,,,,Brayan Rocchio,CLE,SS,25.0,50.0,47.0,190.0,100.0,0.359,70.4,15.6,6.0,32.9,87.9,108.9,92.8,105.3,46.9,20.0,3.8,19.2,54.737,70.3,85.9,10.5,3.2,0.319,0.36,0.468,0.389,3.0,4.0,0.0,15.0,1.0,10.0,104.0,20.0,,,,,,,,none,0,0.6143790849673203,0.7450980392156863,0.40522875816993464,0.6241830065359477,0.7843137254901961,62.05,,,,,0,0.0,,62.05,0.952,MLB,-3.4694445000000016,91.63333400000002,23.799999999999997,66.48750009999999,33.2,Power+OBP,48.026041844999995,23690,playerId
Jose Tena,CLE,MLB,23.3444444,99.85885010434214,0.125984252,0.352941176,0.389763779,0.251724137,290,0.120689655,23691,2B,,15,30 / 35,30 / 45,50 / 55,45 / 45,40+,FA,False,,,none,52.63157894736843,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,none,0,0.33986928104575165,0.21568627450980393,0.39869281045751637,0.24183006535947713,0.2941176470588235,30.68,,,,,0,0.0,,30.68,1.0,MLB,-3.6555555999999996,93.8666672,25.0,40.15800008,32.0,OBP,37.044433476,23691,playerId
Everson Pereira,NYY,MLB,23.2888888,128.9623371747932,0.251552795,0.363157894,0.50931677,0.289473684,380,0.12368421,23695,LF,,19,30 / 30,45 / 50,60 / 60,55 / 50,40,FA,False,,,none,50.0,,,,,,,False,,none,50.0,,False,,,,,,,,,,False,,,none,50.0,,,,,,,Everson Pereira,CHW,OF,24.0,32.0,25.0,128.0,100.0,0.397,72.5,23.1,12.5,26.6,94.0,108.2,95.2,107.5,53.8,31.3,14.0,47.7,50.781,75.0,66.7,24.2,0.8,0.28,0.406,0.52,0.357,4.0,0.0,0.0,7.0,2.0,10.0,65.0,31.0,,,,Everson Pereira,CHW,OF,24.0,32.0,25.0,128.0,100.0,0.397,72.5,23.1,12.5,26.6,94.0,108.2,95.2,107.5,53.8,31.3,14.0,47.7,50.781,75.0,66.7,24.2,0.8,0.28,0.406,0.52,0.357,4.0,0.0,0.0,7.0,2.0,10.0,65.0,31.0,,,,2025,223,"NYY, OF, 24.0 – Pereira’s season ended on May 19th after undergoing elbow surgery. He was doing his usual big power, big strikeout thing before going down with the injury with 10 homers and a 32.4/8.6 K%/BB% in 40 games at Triple-A. That K rate at Triple-A is scary, and it was even worse when he got a shot in the majors in 2023 with a 38.8% K% and 43.1% whiff%. But strikeouts aside, Pereira is an exciting talent with the ability to crush the ball and above average speed. He’s basically obliterated every stop of the minors. These guys generally get a shot at some point in time, often with the Miami Marlins of the world, and the fantasy upside is worth staying patient with. With Juan Soto now officially a goner, maybe Pereira’s status in the Yankees organization gets a little bump, and even if he isn’t handed a starting job (which he won’t be), he might hang around in that next man up territory. He’s a bit more interesting to me now than he was before Soto signing with the Mets. 2025 Projection: 28/10/35/.222/.291/.424/5 Prime Projection: 71/24/78/.235/.312/.454/12 Update: Stanton injury could open the door a crack for Pereira",https://www.imaginarybrickwall.com/top-500-mlb-prospects-rankings-for-2025-fantasy-baseball-dynasty-leagues/,exact,100,0.738562091503268,0.869281045751634,0.48366013071895425,0.7712418300653595,0.11764705882352944,63.48,,,,56.809338521400775,1,0.25,44.02723735408559,56.67153307392996,1.0,MLB,-3.7111112000000013,94.53333440000002,40.0,66.09546008217899,27.0,Power+OBP,52.59962391698055,23695,playerId
